Country,Name,url
Portugal,Rui Patrício,/player/178005/rui-patr%C3%ADcio/
Germany,Lars Bender,/player/177457/lars-bender/
Poland,Łukasz Piszczek,/player/173771/%C5%82ukasz-piszczek/
Argentina,Ezequiel Garay,/player/170481/ezequiel-garay/
Italy,Emiliano Viviano,/player/168354/emiliano-viviano/
Ecuador,Antonio Valencia,/player/167905/antonio-valencia/
France,Laurent Koscielny,/player/165229/laurent-koscielny/
Spain,Raúl Albiol,/player/157481/ra%C3%BAl-albiol/
Brazil,Dani Alves,/player/146530/dani-alves/
Argentina,Javier Mascherano,/player/142754/javier-mascherano/
Norway,Rune Almenning Jarstein,/player/104389/rune-almenning-jarstein/
Italy,Daniele De Rossi,/player/53302/daniele-de-rossi/
Spain,Pepe Reina,/player/24630/pepe-reina/
Portugal,Quaresma,/player/20775/quaresma/
Italy,Gianluigi Donnarumma,/player/230621/gianluigi-donnarumma/
Jamaica,Leon Bailey,/player/229906/leon-bailey/
Portugal,Gelson Martins,/player/227055/gelson-martins/
Brazil,Malcom,/player/222737/malcom/
Colombia,Davinson Sánchez,/player/220793/davinson-s%C3%A1nchez/
France,Corentin Tolisso,/player/219683/corentin-tolisso/
Ivory Coast,Jean Michaël Seri,/player/216451/jean-micha%C3%ABl-seri/
Argentina,Gerónimo Rulli,/player/215316/ger%C3%B3nimo-rulli/
Denmark,Andreas Christensen,/player/213661/andreas-christensen/
France,Kingsley Coman,/player/213345/kingsley-coman/
Germany,Jonathan Tah,/player/213331/jonathan-tah/
Brazil,Alex Telles,/player/212462/alex-telles/
Italy,Federico Bernardeschi,/player/212404/federico-bernardeschi/
Portugal,Bruno Fernandes,/player/212198/bruno-fernandes/
Germany,Julian Brandt,/player/212194/julian-brandt/
Portugal,André Gomes,/player/211575/andr%C3%A9-gomes/
France,Adrien Rabiot,/player/210008/adrien-rabiot/
England,Jamie Vardy,/player/208830/jamie-vardy/
Spain,Lucas Vázquez,/player/208618/lucas-v%C3%A1zquez/
Italy,Andrea Belotti,/player/208596/andrea-belotti/
